[15/May/2024:08:12:13 +0000] 192.168.65.1 16d2647c2f3508d677095115858082b1 GET /wp-admin/admin-ajax.php?action=dashboard-widgets&widget=dashboard_primary&pagenow=dashboard HTTP/1.1
[15/May/2024:08:12:15 +0000] 192.168.65.1 1da50b7ce9dbd1980462eee01a11d03d GET /wp-admin/update-core.php HTTP/1.1
[15/May/2024:08:12:53 +0000] 192.168.65.1 d87fb2cd338bb418931cc837c0337587 GET / HTTP/1.1
[15/May/2024:08:12:53 +0000] 192.168.65.1 06c6a76794e3869d7826bc53b0f9726c GET /wp-includes/css/admin-bar.min.css?ver=6.5.3 HTTP/1.1
[15/May/2024:08:12:53 +0000] 192.168.65.1 0e99c9a592ee9f893a601eda76e6d92d GET /wp-includes/blocks/navigation/style.min.css?ver=6.5.3 HTTP/1.1
[15/May/2024:08:12:53 +0000] 192.168.65.1 6e0fb38949e7fb72425e9a7e5520305c GET /wp-includes/blocks/image/style.min.css?ver=6.5.3 HTTP/1.1
[15/May/2024:08:12:53 +0000] 192.168.65.1 8303f97c5014925780baacbb22005a32 GET /wp-includes/js/admin-bar.min.js?ver=6.5.3 HTTP/1.1
[15/May/2024:08:12:53 +0000] 192.168.65.1 33bcbe7a81cd548a36f7315b815d5224 GET /wp-includes/css/dashicons.min.css?ver=6.5.3 HTTP/1.1
[15/May/2024:08:12:53 +0000] 192.168.65.1 81f6b9691a52e737296f584abf8ce7f9 GET /wp-content/themes/twentytwentyfour/assets/images/tourist-and-building.webp HTTP/1.1
[15/May/2024:08:12:53 +0000] 192.168.65.1 cb523c01c266b6182bd2fd8d19878a5b GET /wp-content/themes/twentytwentyfour/assets/images/windows.webp HTTP/1.1
[15/May/2024:08:12:53 +0000] 192.168.65.1 c053a87667b57978efc3c7c68bd64fe7 GET /wp-content/themes/twentytwentyfour/assets/images/building-exterior.webp HTTP/1.1
[15/May/2024:08:12:53 +0000] 192.168.65.1 67459279269f544fb2bd7d672ab3f35d GET /wp-includes/blocks/navigation/view.min.js?ver=6.5.3 HTTP/1.1
[15/May/2024:08:12:53 +0000] 192.168.65.1 4027afef530a07e71f53932c01e80011 GET /wp-includes/js/dist/interactivity.min.js?ver=6.5.3 HTTP/1.1
[15/May/2024:08:12:53 +0000] 192.168.65.1 0f82cb7896861d2bf782d651ee789258 GET /wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2 HTTP/1.1
[15/May/2024:08:12:53 +0000] 192.168.65.1 f58cc4c9abf3d68ae73f3fd93720577a GET /wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_400.woff2 HTTP/1.1
[15/May/2024:08:12:53 +0000] 192.168.65.1 1919d4879b81315f4826d9c05ab35203 GET /wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_italic_400.woff2 HTTP/1.1
[15/May/2024:08:26:54 +0000] 192.168.65.1 4546cff88b4a541125b9f221b1418c02 GET / HTTP/1.1
[15/May/2024:08:26:54 +0000] 192.168.65.1 a8235a41a7cf2204cce4f0ce4871eabb GET /wp-includes/blocks/image/style.min.css?ver=6.5.3 HTTP/1.1
[15/May/2024:08:26:54 +0000] 192.168.65.1 04e6c9e26b0da40a227bf2b8715cf324 GET /wp-includes/blocks/navigation/style.min.css?ver=6.5.3 HTTP/1.1
[15/May/2024:08:26:54 +0000] 192.168.65.1 3ee9f180aa3d4f14bfd2ec20f1988554 GET /wp-content/themes/twentytwentyfour/assets/images/windows.webp HTTP/1.1
[15/May/2024:08:26:54 +0000] 192.168.65.1 e570a00a2cd1765842088fec5b293322 GET /wp-content/themes/twentytwentyfour/assets/images/building-exterior.webp HTTP/1.1
[15/May/2024:08:26:54 +0000] 192.168.65.1 3553e7ede1876f7fbcd77899cc91e4bc GET /wp-content/themes/twentytwentyfour/assets/images/tourist-and-building.webp HTTP/1.1
[15/May/2024:08:26:54 +0000] 192.168.65.1 bb949c714ef16c97bece45e153e821ef GET /wp-includes/blocks/navigation/view.min.js?ver=6.5.3 HTTP/1.1
[15/May/2024:08:26:54 +0000] 192.168.65.1 c86a29c3257158c65e6303c05faa0e82 GET /wp-includes/js/dist/interactivity.min.js?ver=6.5.3 HTTP/1.1
[15/May/2024:08:26:54 +0000] 192.168.65.1 9d291a08efa4d96f7376f7ad5b5f1d41 GET /wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_italic_400.woff2 HTTP/1.1
[15/May/2024:08:26:54 +0000] 192.168.65.1 f6c33b53f3a8a1f9b69e856b122cce55 GET /wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_400.woff2 HTTP/1.1
